order,class_name,class_teacher,class_school,class_sum
21,AutoCAD软件应用,徐秀娟 孙路 霍奕宇 ,陕西国防工业职业技术学院,825
21,C语言程序设计,刘进锋 ,宁夏大学,825
21,C程序设计,姜学锋 刘君瑞 ,西北工业大学,775
21,C#程序设计,刘君瑞 姜学锋 ,西北工业大学,708
21,清华大数据应用实践：快速搭建基于数据的应用,刘英博 ,清华大学,695
21,安卓手机软件拼图式开发App   Inventor,王杰 ,广东开放大学,669
21,视觉无障碍智能交互,史元春 ,清华大学,666
21,大学计算机基础（艺术类）,史家银 杜文博 朱原良 ,云南艺术学院,631
21,不确定性时代的计算传播学研究,王成军 张伦 许小可 ,南京大学,631
22,Compilation Principle,刘刚 付岩 曹雪 李丽洁 高迪 ,哈尔滨工程大学,571
22,计算机病毒分析,王志 ,南开大学,526
22,人工智能,陈钒 ,天津财经大学,519
22,编译技术,徐秀娟 贾棋 任志磊 江贺 刘馨月 ,大连理工大学,516
22,C++程序设计,魏英 姜学锋 ,西北工业大学,508
22,理论和实践：自然语言处理,,,506
22,2020年中国科技峰会系列活动青年科学家沙龙,,,480
22,计算机系统架构的新挑战,汪东升 ,清华大学,461
22,复杂场景下的知识获取,韩旭 ,清华大学,449
22,用新数学做数据库,蒋步星 ,润乾软件,440
23,毕业季博硕论坛,刘知远 潘欣 丁小可 梁鼎 张国鑫 张凯 叶明江 林会杰 曹曦 涂存超 杨植麟 庞海天 武彬 ,清华大学,425
23,智能运维,汤汝鸣 孟伟彬 苏亚 刘平 ,清华大学,409
23,工业互联网大讲堂,田野 严鹏飞 ,中国工业互联网研究院,403
23,机器人的主动感知与行为学习,孙富春 ,清华大学,396
23,深度迁移学习在NLP当中的应用和实践,苏海波 ,学堂在线,376
23,数据到决策的框架：三个机器学习任务、三次结构转换,蒋朦 ,美国圣母大学,372
23,自动驾驶汽车电子控制系统工程师训练营,成波 ,学堂在线,361
23,Access程序设计基础,梁洁 张泽华 崔燕妮 林玲 ,云南大学,360
23,2020KDD顶会论文分享,任慧敏 李昂 晋嘉睿 窦英通 高峻逸 林禹臣 马辰 ,美国伍斯特理工学院,357
23,深度学习在推荐系统中的应用与发展,王喆 ,清华大学,350
24,2020年公派出国留学政策及项目,国家留学基金委 ,清华大学,349
24,C Programming,汪芳 张秀伟 周果清 刘君瑞 魏英 姜学锋 ,西北工业大学,341
24,推荐系统中的用户理解：偏好、意图、行为与满意度,张敏 ,清华大学,331
24,量子计算离我们还远吗？,应明生 孙晓明 马雄峰 段润尧 ,清华大学,317
24,清华大学之“贵系”万花筒,刘潇 杨宗瀚 李晓涵 吴之璟 陈晟祺 高天宇 ,清华大学,316
24,南开大学信息安全微专业发布会,,,316
24,Code+程序设计大赛颁奖典礼,,,314
24,疫情与5G,孙松林 ,北京邮电大学,313
24,快手商业用户体验Insight,高小平 ,清华大学,310
24,论道AI Open,,,308
25,高级机器学习训练营,唐杰 ,学堂在线,304
25,文献检索与论文写作,武祥龙 ,西北工业大学,290
25,算法支撑的赛博智能经济,徐恪 ,清华大学,287
25,“神威·太湖之光”超级计算机优化方法与应用简介,甘霖 ,清华大学,286
25,Database Technology and Programming,高裴裴 李敏 袁晓洁 赵远红 康介恢 ,南开大学,281
25,知识驱动：人才战略的未来,张鹏 ,清华大学,279
25,国际超算赛事称霸指南,何家傲 陈晟祺 ,清华大学,277
25,AI肖像画大师：生成对抗网络驱动的多风格艺术肖像画创作,刘永进 ,清华大学,277
25,计算机组成原理与系统结构,李晨 ,西安交通大学,277
25,浅谈面试中的算法题,杨耀良 谢兴宇 ,清华大学,273
26,The 2nd TBSI Workshop on Learning Theory,,,268
26,走向以人为本的人工智能：利用人工智能提高人类决策能力,谭宸浩 ,科罗拉多大学波尔得分校,266
26,网络安全博弈之路,张超 ,清华大学,265
26,为网络化系统设计智能可靠的优化算法,黄隆波 ,清华大学,259
26,推荐系统产品分享,叶妃霞 ,学堂在线计算机学院,259
26,ICACHI 云论坛系列,任向实 付志勇 王建民 麻晓娟 袁晓君 李维 涂华伟 黄大源 杨兴栋 付志勇 Peter Scupelli 张黎 ,日本高知工科大学,256
26,计算机视觉,鲁鹏 ,北京邮电大学,250
26,当微信邂逅NLP基础研究,李鹏 ,清华大学,249
26,低时延网络挑战赛：从5G和边缘计算到互联网,崔勇 ,清华大学,247
